YTR064;YTR063;YTR062;YTR061;YPR066;YPR064
22.036;22.293;22.28;22.274;2.233;0.642
22.01;22.261;22.235;22.248;2.253;0.634
22.004;22.248;22.222;22.229;2.21;0.627
21.991;22.216;22.196;22.209;2.215;0.609
21.984;22.222;22.203;22.203;2.223;0.606
22.023;22.235;22.222;22.229;2.215;0.606
22.036;22.261;22.241;22.241;2.207;0.611
22.016;22.254;22.222;22.241;2.197;0.619
22.023;22.248;22.229;22.235;2.238;0.616
22.023;22.248;22.241;22.235;2.225;0.619
22.016;22.261;22.241;22.254;2.266;0.619
22.016;22.28;22.254;22.241;2.187;0.622
22.016;22.28;22.261;22.254;2.269;0.627
22.042;22.293;22.28;22.293;2.194;0.624
22.055;22.351;22.338;22.338;2.767;0.58
22.023;22.351;22.331;22.331;2.238;0.539
22.029;22.325;22.306;22.318;2.256;0.519
22.029;22.306;22.274;22.293;2.379;0.516
22.049;22.274;22.248;22.261;2.405;0.506
22.061;22.222;22.209;22.222;2.289;0.491
22.049;22.209;22.19;22.209;2.292;0.48
22.042;22.196;22.177;22.196;2.266;0.473
22.049;22.158;22.139;22.158;2.253;0.457
22.049;22.145;22.126;22.145;2.256;0.452
22.049;22.119;22.087;22.107;2.233;0.442
22.061;22.094;22.074;22.094;2.341;0.431
22.055;22.081;22.061;22.081;2.243;0.424
22.055;22.036;22.016;22.036;2.266;0.411
22.061;22.023;22.004;22.023;2.259;0.406
22.055;21.997;21.978;22.01;2.336;0.395
22.049;21.939;21.907;21.933;2.271;0.37
22.042;21.914;21.888;21.92;2.302;0.365
22.042;21.875;21.856;21.882;2.23;0.347
22.036;21.862;21.843;21.869;2.333;0.341
22.036;21.85;21.83;21.862;2.261;0.336
22.042;21.843;21.817;21.85;2.331;0.331
22.042;21.811;21.785;21.817;2.297;0.321
22.042;21.792;21.772;21.792;2.282;0.313
22.055;21.747;21.727;21.76;2.284;0.298
22.068;21.727;21.715;21.747;2.367;0.29
22.074;21.721;21.702;21.727;2.279;0.285
22.081;21.715;21.702;21.727;2.269;0.282
22.132;21.695;21.682;21.715;2.331;0.277
22.145;21.695;21.676;21.702;2.349;0.272
22.171;21.689;21.676;21.702;2.269;0.275
22.229;21.689;21.676;21.702;2.253;0.272
22.318;21.695;21.676;21.702;2.251;0.27
22.389;21.695;21.676;21.715;2.313;0.272
22.511;21.708;21.689;21.721;2.266;0.277
22.531;21.715;21.702;21.727;2.349;0.28
22.601;21.721;21.702;21.734;2.377;0.282
22.704;21.747;21.721;21.753;2.32;0.29
22.723;21.747;21.727;21.76;2.397;0.29
22.755;21.753;21.734;21.766;2.289;0.293
22.794;21.76;21.74;21.772;2.297;0.295
22.807;21.766;21.747;21.779;2.361;0.298
22.82;21.779;21.76;21.792;2.336;0.3
22.845;21.785;21.766;21.792;2.408;0.305
22.852;21.805;21.785;21.817;2.292;0.316
22.839;21.811;21.792;21.824;2.382;0.318
22.691;21.772;21.747;21.785;2.264;0.305
22.646;21.747;21.721;21.766;2.31;0.295
22.569;21.721;21.695;21.727;2.305;0.282
22.447;21.682;21.663;21.689;2.279;0.27
22.357;21.65;21.631;21.663;2.292;0.259
22.241;21.644;21.612;21.65;2.269;0.249
22.248;21.65;21.618;21.657;2.295;0.252
22.241;21.637;21.625;21.657;2.379;0.254
22.254;21.631;21.618;21.65;2.292;0.249
22.274;21.637;21.605;21.65;2.331;0.249
22.293;21.65;21.631;21.663;2.289;0.254
22.434;21.676;21.657;21.695;2.31;0.264
22.466;21.682;21.663;21.695;2.282;0.27
22.691;21.715;21.689;21.727;2.359;0.277
22.717;21.715;21.695;21.734;2.3;0.282
22.762;21.721;21.702;21.74;2.259;0.282
22.826;21.753;21.734;21.766;2.271;0.298
22.781;21.74;21.727;21.76;2.274;0.295
22.755;21.74;21.708;21.747;2.323;0.29
22.601;21.695;21.67;21.708;2.277;0.275
22.486;21.663;21.644;21.676;2.253;0.259
22.473;21.67;21.65;21.682;2.292;0.262
22.479;21.663;21.637;21.67;2.395;0.259
22.473;21.663;21.644;21.676;2.3;0.262
22.498;21.657;21.644;21.676;2.284;0.259
22.505;21.663;21.644;21.676;2.295;0.262
22.531;21.676;21.65;21.689;2.323;0.264
22.563;21.67;21.657;21.689;2.287;0.267
22.569;21.682;21.663;21.695;2.264;0.267
22.942;21.74;21.721;21.753;2.364;0.287
23.083;21.772;21.74;21.779;2.302;0.298
23.456;21.798;21.779;21.817;2.32;0.311
23.52;21.817;21.792;21.83;2.318;0.313
23.571;21.824;21.805;21.837;2.359;0.318
23.655;21.83;21.811;21.843;2.351;0.323
23.693;21.843;21.824;21.856;2.282;0.326
23.816;21.862;21.843;21.882;2.32;0.334
23.918;21.888;21.862;21.901;2.331;0.344
23.938;21.894;21.875;21.907;2.269;0.347
23.976;21.914;21.888;21.933;2.279;0.349
24.008;21.927;21.907;21.946;2.271;0.359
23.995;21.946;21.92;21.959;2.266;0.365
23.905;21.952;21.927;21.965;2.341;0.372
23.822;21.946;21.92;21.965;2.279;0.37
23.809;21.939;21.92;21.959;2.282;0.367
23.706;21.914;21.894;21.927;2.284;0.362
23.636;21.888;21.869;21.907;2.287;0.352
23.546;21.862;21.837;21.882;2.284;0.339
23.52;21.85;21.817;21.862;2.307;0.334
23.456;21.817;21.798;21.837;2.297;0.323
23.411;21.798;21.772;21.811;2.297;0.313
23.404;21.792;21.772;21.805;2.289;0.311
23.372;21.779;21.76;21.792;2.266;0.308
23.34;21.76;21.747;21.785;2.284;0.303
23.314;21.785;21.766;21.805;2.349;0.308
